"STATE_NAME","STATEFP","COUNTYFP","FIPS","NAME"
"Alabama","01","001","01001","Autauga"
"Alabama","01","003","01003","Baldwin"
"Alabama","01","005","01005","Barbour"
"Alabama","01","007","01007","Bibb"
"Alabama","01","009","01009","Blount"
"Alabama","01","011","01011","Bullock"
"Alabama","01","013","01013","Butler"
"Alabama","01","015","01015","Calhoun"
"Alabama","01","017","01017","Chambers"
"Alabama","01","019","01019","Cherokee"
"Alabama","01","021","01021","Chilton"
"Alabama","01","023","01023","Choctaw"
"Alabama","01","025","01025","Clarke"
"Alabama","01","027","01027","Clay"
"Alabama","01","029","01029","Cleburne"
"Alabama","01","031","01031","Coffee"
"Alabama","01","033","01033","Colbert"
"Alabama","01","035","01035","Conecuh"
"Alabama","01","037","01037","Coosa"
"Alabama","01","039","01039","Covington"
"Alabama","01","041","01041","Crenshaw"
"Alabama","01","043","01043","Cullman"
"Alabama","01","045","01045","Dale"
"Alabama","01","047","01047","Dallas"
"Alabama","01","049","01049","DeKalb"
"Alabama","01","051","01051","Elmore"
"Alabama","01","053","01053","Escambia"
"Alabama","01","055","01055","Etowah"
"Alabama","01","057","01057","Fayette"
"Alabama","01","059","01059","Franklin"
"Alabama","01","061","01061","Geneva"
"Alabama","01","063","01063","Greene"
"Alabama","01","065","01065","Hale"
"Alabama","01","067","01067","Henry"
"Alabama","01","069","01069","Houston"
"Alabama","01","071","01071","Jackson"
"Alabama","01","073","01073","Jefferson"
"Alabama","01","075","01075","Lamar"
"Alabama","01","077","01077","Lauderdale"
"Alabama","01","079","01079","Lawrence"
"Alabama","01","081","01081","Lee"
"Alabama","01","083","01083","Limestone"
"Alabama","01","085","01085","Lowndes"
"Alabama","01","087","01087","Macon"
"Alabama","01","089","01089","Madison"
"Alabama","01","091","01091","Marengo"
"Alabama","01","093","01093","Marion"
"Alabama","01","095","01095","Marshall"
"Alabama","01","097","01097","Mobile"
"Alabama","01","099","01099","Monroe"
"Alabama","01","101","01101","Montgomery"
"Alabama","01","103","01103","Morgan"
"Alabama","01","105","01105","Perry"
